bedrooms;bathrooms;sqft_living;sqft_lot;floors;yr_built;price
5;2.75;3595;5639;2;2014;861990
3;1.75;1540;1044;3;2014;549000
3;3.5;1590;1102;3;2010;518500
3;2.5;2010;2287;2;2014;453246
3;2.25;1170;1249;3;2014;519950
3;2.5;2440;4587;2;2010;677900
3;2.25;1270;1566;2;2014;625504
4;2.75;3820;26300;2;2014;770000
5;2.75;3150;7119;2;2013;819900
4;3.5;3040;8414;2;2010;684000
3;2.5;2110;5608;1;2013;604950
3;2.25;1860;5028;2;2012;355000
4;2.75;3390;6298;2;2011;859900
3;2.5;2870;5163;2;2014;880000
3;2.5;1805;3402;2;2009;266000
4;4;6050;84942;2.5;2009;930000
3;2.5;1660;1458;3;2014;559950
3;2.5;1660;1091;3;2015;729500
5;2.75;2990;6768;2;2014;802541
3;2.75;2090;8354;2;2012;403000
4;2.5;2156;3562;2;2012;347500
2;2.5;2380;6600;1;2010;699800
3;1.5;1240;1221;2;2009;320000
3;3.25;2660;17852;2.5;2014;379000
3;3.5;2480;3200;2;2010;910000
4;3.5;3810;13592;1;2013;839900
2;2.75;1370;1140;2;2009;359000
2;2.75;1760;4139;2;2010;420000
3;2.25;1422;3677;2;2012;245000
2;2.5;1380;1073;2;2011;285000
4;2.5;2820;6180;2;2013;735000
2;2;920;1201;2;2009;363000
3;3.5;1810;1846;2;2009;625000
3;2.5;1981;5700;2;2010;303700
4;2.5;2740;7571;2;2009;706000
3;3.5;1820;1991;2;2014;499950
3;2.5;1690;1200;2;2013;409900
3;2.5;2660;4975;2;2014;599950
4;4;3570;8250;2;2015;597326
5;2.75;2830;6137;2;2010;820000
3;2.5;1710;3795;2;2009;411753
6;4;4470;17877;3;2013;598800
3;2.25;2190;2416;3;2014;719950
2;2.75;1370;1140;2;2009;369950
3;2.25;1552;3600;2;2012;282000
3;2.25;1260;1488;3;2009;275000
4;2.5;1580;3632;2;2011;299900
1;1;710;6000;1.5;2015;385195
5;3.5;3700;5400;2;2011;830000
3;2.5;2160;3920;2;2014;856000
5;3.5;3130;4797;2;2014;866059
4;3.5;3915;6364;2;2014;963990
3;2.25;1530;4580;2;2011;335000
4;3;2940;7108;2;2011;870000
4;2.5;2900;6736;2;2013;527000
2;2;1140;1118;2;2009;247300
3;2.5;1553;1991;3;2014;412000
3;2.25;2170;5001;2;2014;802000
4;3.5;3210;5000;3;2014;889000
3;3;2640;5978;2;2012;535000
3;2.5;1640;1269;3;2009;579000
4;3.5;3080;4945;2;2014;866500
3;2.75;1670;1350;3;2014;589950
3;2.5;1450;4106;2;2011;279000
4;2.5;2560;5428;2;2012;350000
3;2.25;1670;1396;2;2015;631000
4;2.5;2154;6050;2;2012;335000
4;2.5;2680;4548;2;2009;750000
4;3.75;1980;4095;2;2009;912000
3;2.5;1500;1375;2;2014;649950
3;2.25;1990;4977;3;2012;715000
3;2.5;1610;1246;2;2014;659950
3;2;1890;1599;2;2012;458500
4;2.75;2890;7821;2;2014;978000
4;2;2470;1831;2;2009;305000
3;2.5;1690;1618;2;2014;372977
2;1.75;1210;1040;2;2014;357186
5;3.25;4115;7910;2;2014;988830
4;2.5;2930;8679;2;2014;635000
3;2.5;1840;5011;2;2012;317000
3;2.5;2010;2386;2;2014;479990
2;2.5;2270;1763;3;2009;656000
4;3.5;3695;6556;2;2014;994900
4;2.75;3010;7427;2;2010;800000
4;2.5;3370;7200;2;2014;890000
4;2.5;1540;1994;2;2014;439990
4;2.5;2038;7643;2;2011;319950
3;2.5;1690;1613;2;2014;386591
3;2.5;2080;3920;2;2010;448500
5;2.75;2844;3990;2;2013;359950
5;4;3460;5400;2;2012;980000
2;2.25;1230;1280;2;2012;387000
3;2.5;2160;8809;1;2014;730000
2;1.75;1210;1032;2;2014;357562
4;2.5;2811;7251;2;2009;455000
4;2.75;3090;6200;2;2014;908950
2;2;1450;989;3;2014;680000
1;1;1160;64469;1;2009;440000
3;2.25;1380;3015;2;2009;435000
5;2.75;3360;9200;2;2014;738515
3;1.75;1255;1113;3;2010;360000
5;2.5;2130;8428;2;2013;380000
3;3.5;1730;1349;3;2009;635000
4;2.5;2930;8641;2;2010;750000
5;4.5;4440;9784;2;2012;600000
4;2.5;2130;4750;2;2009;370000
2;2.5;1700;2513;2;2009;378000
3;2.5;1260;1622;3;2009;305000
3;2.5;2070;4689;2;2013;359500
3;2.5;1990;3644;2;2010;318200
3;2.25;1340;873;3;2009;303000
4;2.5;1910;1502;3;2014;630000
4;2.75;2990;4298;2;2014;779950
3;2.25;1210;1250;3;2014;520000
3;2.5;1260;895;3;2009;305000
3;2.75;2310;1850;2;2011;713000
4;3.75;3280;6000;2;2014;928950
4;2.5;2440;4000;2;2009;350000
5;2.75;2730;6401;2;2015;614285
3;2.5;1330;2180;3;2014;539950
3;2.5;2020;4183;2;2012;321000
4;2.5;3150;5886;2;2014;580135
4;2.75;2500;4950;2;2010;680000
3;2.5;1509;1114;3;2014;401500
4;2.5;3070;6923;2;2009;860000
5;4.25;3380;7805;2;2014;569950
2;1.5;1200;1259;2;2015;455000
5;3;3480;6625;2;2012;590000
4;2.5;1990;2660;2;2012;537000
3;3.25;1220;1281;2;2014;526000
4;2.75;2920;6605;2;2012;625000
7;4;3150;7800;2;2013;450000
2;2.25;1100;1695;2;2009;374000
3;2.75;1770;3172;2;2009;415000
2;2;1750;2731;2;2012;394000
3;2.5;2480;5007;2;2014;775000
4;2.5;2610;4781;2;2009;335000
3;2.25;1520;1221;3;2013;565000
3;2.25;1370;1533;3;2009;315000
5;2.75;2600;8160;2;2015;628000
4;2.5;1996;4547;2;2009;285000
5;3.25;3830;6507;2;2014;955990
3;2.5;2380;3332;2;2014;650000
4;3.5;3130;52322;2;2011;975000
2;2.5;1370;1140;2;2009;355000
3;2.5;1740;1251;2;2012;601000
3;2.5;1690;1609;2;2014;404763
3;3;1560;2250;2;2009;503045
3;2.5;1690;1613;2;2014;413565
4;2.75;3350;5416;2;2014;790500
4;2.75;3120;5000;2;2010;800000
3;2;1560;1156;3;2014;500000
4;3.5;3790;6874;2.5;2010;875000
4;2.5;2810;6296;2;2013;487500
3;2.5;2100;6092;2;2013;554990
3;2.25;1310;1264;3;2014;514950
4;2.75;2840;4227;3;2014;784950
4;3.25;3830;6765;2;2014;963990
5;3;2100;7715;1;2013;330000
3;2.75;1670;1350;3;2014;649950
3;2.5;2670;12806;2;2010;430000
3;2.5;1690;1689;2;2014;419990
5;2.5;3280;6553;2;2012;594950
4;2.75;3440;8150;2;2014;730000
5;3.75;3090;7415;2;2014;540500
4;2.75;3660;5637;2;2014;839990
2;1.75;1210;1189;2;2014;351358
3;2.5;2010;2212;2;2014;472217
4;2.5;2200;6018;2;2010;396800
4;2.5;2382;5899;2;2011;345000
3;2.5;1650;4725;2;2011;299000
3;2.5;2440;4244;2;2011;729000
3;3.25;1830;1804;3;2014;599950
4;3.25;2590;3889;3;2013;760000
3;1.75;1480;800;2;2014;469000
4;2.75;2990;6626;2;2014;814950
2;1.5;1130;746;2;2009;536000
3;2.5;1680;1620;2;2014;629950
3;3.25;2320;6744;2;2014;674000
3;3.5;1820;1501;2;2014;499950
2;2;1850;4667;1;2010;589000
2;2.25;2550;5663;1;2011;630000
2;2.75;2700;9854;1;2012;850000
4;2.5;1540;1860;2;2014;491234
3;2.5;1180;1262;3;2010;472000
3;2.5;1780;4650;2;2011;299950
2;2.25;1330;806;3;2009;527700
4;2.5;2820;8408;2;2014;625000
4;2.5;1640;6000;2;2011;464950
3;2.5;2200;3360;2;2009;433500
2;1.75;1170;976;2;2010;530000
4;2.75;2450;4187;2;2010;735000
4;2.75;2520;6398;2;2014;642860
4;2.5;3100;7250;2;2010;967000
5;2.75;2166;6342;2;2013;326000
4;2.75;3130;8920;2;2014;690500
3;3;1320;1012;3;2009;510000
2;2.25;1390;1222;3;2009;465000
3;3.5;1700;2197;2;2010;585000
5;3.25;2440;15815;2;2014;680000
5;3;2640;5096;2;2009;910000
4;2.75;2730;4268;2;2009;905000
3;2.5;2010;2778;2;2014;462608
3;2.25;1270;1406;2;2014;594000
4;2.75;2170;5988;2;2014;551000
3;2.75;1810;3292;2;2014;384205
4;2.5;2150;4000;2;2010;339950
4;2.5;2570;4557;2;2009;360000
4;2.5;1677;7209;2;2011;295000
4;3;3220;6224;1.5;2009;584950
5;3.25;3290;6422;2;2012;810000
4;2.25;1660;3200;2;2011;300000
5;3;2570;5590;1;2009;540000
3;2.75;1830;1850;2;2011;593000
3;2.5;2620;4558;2;2010;277500
3;2.5;1620;1377;2;2009;640000
4;2.25;2770;5320;2;2013;950000
2;2.25;1530;1324;2;2010;546000
3;2.5;2010;2261;2;2014;550000
4;3.25;3140;3680;2;2009;760000
4;2.5;2100;3916;2;2009;346000
2;2.25;1570;1269;2;2015;500000
4;2.5;1981;4828;2;2013;299999
4;2.5;2540;4241;2;2009;717000
2;1.5;1180;834;3;2009;325000
3;2.5;1720;6200;2;2014;255000
4;2.25;2040;7031;2;2012;670000
4;2.5;2007;4968;2;2009;305950
2;2.5;1480;1369;3;2009;420000
4;2.75;1890;1475;2;2015;671000
4;2.5;2650;6240;2;2013;702000
2;1;980;1600;2;2010;447000
4;2.5;3100;5700;2;2011;499000
5;3.25;3920;4832;2;2014;616200
3;2.75;1250;892;2;2010;450000
3;2.5;1980;3128;2;2009;615000
4;2.25;1677;3600;2;2012;281000
2;1.5;820;1270;2;2009;365000
4;2.5;2310;6650;2;2012;422000
2;1.75;1340;1050;3;2009;360000
4;3.5;2720;3000;2;2014;790000
4;3.5;3030;5494;3;2014;799950
2;2;1140;690;2;2014;570000
4;2.5;2150;3600;2;2010;355000
3;2.5;1790;4065;2;2009;366000
3;2;1020;889;2;2009;280000
4;2.5;2680;4500;2;2011;379950
4;2.5;2643;5750;2;2012;376950
4;2.5;2220;5900;2;2014;652600
4;2.5;3000;5471;2;2013;540000
3;2.25;1552;3677;2;2012;264000
4;3;2460;9606;1;2012;280000
3;2.5;3190;6899;2;2014;814842
4;2.5;1600;9921;2;2009;270000
4;2.5;2980;4074;2;2011;480000
4;3;1530;8306;2;2010;260000
4;2.5;3250;6933;2;2009;535000
4;2.5;2640;5595;2;2011;387990
4;2.75;3260;4900;2;2013;565000
3;2.5;1740;3721;2;2009;257000
3;2.5;1680;1683;2;2014;629950
2;1.75;1210;1161;2;2014;395000
4;2.75;2840;4864;3;2014;779950
4;3.5;3310;6000;2;2010;885000
4;2.25;1870;5371;2;2009;293000
4;2.5;2500;8282;2;2013;620000
3;2;1840;3432;2;2012;467000
2;1.25;1230;1569;2;2009;540000
5;2.5;2870;4712;2;2014;760369
4;2.25;3070;9210;2;2010;664500
3;2;1380;3600;3;2015;350000
4;2.25;1964;3541;2;2013;342000
3;2.5;1509;1418;3;2014;410000
3;2.5;1680;1683;2;2014;629950
3;2.5;2010;3200;2;2009;625000
5;2.75;3460;7977;2;2011;858450
5;3;2730;9519;1;2014;559950
2;1.5;830;1034;2;2009;345000
4;2.5;2430;3249;2;2010;427500
3;2.5;2030;1800;3;2013;906000
2;2.25;1130;2191;2;2010;415000
3;2.5;2830;3750;3;2014;969950
3;3.25;1540;704;3;2011;742000
3;2.25;1860;1558;3;2014;539950
2;2.5;2170;6750;1;2012;765000
3;2.5;1980;4500;2;2012;317950
4;2.75;3555;6565;2;2014;895990
2;1.75;1140;936;2;2014;549900
3;2.5;2960;6856;2;2009;835000
2;1.75;950;15219;1;2009;515000
2;2.5;1230;987;2;2011;380000
2;2.25;1100;1114;2;2009;574000
5;3;3070;8474;2;2011;825000
3;1.75;1260;3604;1;2012;259000
4;2.5;3060;6000;2;2012;465000
3;3;1970;24318;1;2010;445000
3;2.25;1850;2575;2;2013;474950
5;2.75;3170;7062;2;2014;919950
3;2.5;2830;3750;3;2014;959000
5;3;2560;12480;1;2012;565000
3;3.25;2780;4002;2;2009;402500
4;3.5;3110;6829;2;2014;600600
5;3;2700;5001;2;2009;935000
3;2.5;1330;2183;3;2014;539950
3;2.5;1780;5015;2;2010;270000
3;3.5;3650;103672;1;2011;680000
3;3.5;1650;1577;2;2012;495000
4;2.5;2270;5000;2;2014;812000
4;3.25;2720;4000;2;2014;846000
4;3.25;3500;5960;2;2010;840000
5;3;2420;11250;2;2013;445000
4;2.5;1540;1870;2;2014;484998
2;2.25;1160;954;2;2014;555000
4;2.5;2470;4945;2;2012;669000
4;2.75;3250;10000;2;2014;689000
3;2.5;2780;11964;2;2009;825500
4;3;2793;5703;2;2009;421500
4;2.5;2970;5050;2;2014;855169
3;2.25;1480;1026;3;2014;580000
3;2.5;1870;5333;2;2012;377000
4;2.75;2475;4000;2;2014;329900
4;2.5;2950;7024;2;2012;921800
3;2.25;1410;905;3;2014;529500
4;2.5;2240;3712;2;2014;363990
5;2.75;3230;6500;2;2014;834950
3;2;2100;31550;1;2010;399000
3;2.25;1936;9495;1;2013;338900
4;2.5;2070;4270;2;2010;493000
3;2.5;2130;5205;2;2013;456000
3;2.25;1620;997;2.5;2010;425000
3;2.5;1490;2478;3;2009;348000
3;1;1300;6098;1;2013;155000
5;2.5;2340;4500;2;2009;429000
3;1.75;1410;1899;2;2014;267800
3;2.5;1930;8254;2;2014;369950
4;3.25;2950;4161;2;2014;839704
4;2.75;2620;6019;2;2013;499431
5;3.5;4890;12039;2;2014;865950
3;2.75;1740;5639;1;2010;280000
4;2.5;2575;4725;2;2011;359000
3;2.25;1420;1230;2;2009;425000
3;2.5;1920;144619;1;2014;465000
6;3.75;2930;14980;2;2013;915000
4;2.5;2310;7800;2;2011;375000
4;2.5;2020;5100;2;2010;319000
3;1.5;1270;1067;3;2009;325000
4;2.75;2790;8092;2;2013;505657
4;2.5;2320;4142;2;2010;340000
3;2.5;1750;6351;2;2012;250000
4;2.5;2030;4596;2;2014;349500
5;3.25;2710;2356;2;2013;715000
4;2.75;2520;8433;2;2014;689950
2;3;1570;1281;3;2014;657000
4;2.75;2475;4276;2;2014;319900
3;3.75;2260;2050;2;2010;532000
3;2.25;2940;6500;3;2014;885000
4;2.75;3010;7200;2;2014;839950
3;2.5;1584;3200;2;2011;263000
4;2.5;2420;5006;2;2013;505000
3;2.5;2393;4788;2;2012;400000
4;3.5;2970;6587;2;2014;549995
3;2.5;2329;5720;2;2010;327555
4;2.25;2580;2875;2;2015;673000
3;2.5;2029;3906;2;2014;384435
5;3.5;3220;5081;2;2013;950968
3;1.5;1072;4339;2;2009;250000
4;2.75;2790;5000;2;2014;484259
3;2.5;1800;4357;2;2013;450000
3;2.5;2280;4557;2;2010;450000
3;2.25;1570;1680;3;2014;660000
4;3.75;4120;8258;2;2012;949950
4;2.5;2540;5760;2;2009;759990
4;2.75;2050;4000;2;2014;355000
4;2.75;3080;7242;2;2014;889950
4;2.5;3170;5100;2;2012;745000
3;2.5;1090;1139;2;2009;335000
4;2.5;3230;5899;2;2012;569950
4;2.5;1785;2552;2;2009;282000
4;2;2340;9716;1;2009;385000
3;2.25;1620;1075;3;2009;420000
4;3;1984;4460;2;2012;292000
3;2.25;1640;1023;3;2014;645000
4;3.5;2730;5707;2;2011;489500
2;1;962;1992;2;2012;390000
4;3.5;3040;4006;2;2013;815000
3;3.5;2540;10578;2;2014;719000
4;2.5;2240;4800;2;2014;331210
5;4;3210;7200;2;2011;465000
4;2.5;1850;5388;2;2009;328000
4;2.5;3340;5314;2;2010;701000
3;2.75;2670;4800;2;2014;408000
3;2.5;3010;7014;2;2009;538000
5;3.5;3931;9497;2;2014;450000
3;2.5;1800;2700;2;2011;362500
3;2.5;2230;3939;2;2014;679950
2;2;1440;4666;1;2010;439950
4;2.5;2052;3723;2;2014;349900
5;2.5;2780;9272;2;2014;550000
2;2.25;1460;1851;2;2014;655000
6;4.5;3600;6110;2;2012;729999
2;2.5;980;895;2;2009;369000
3;2.5;1790;2700;2;2010;509900
3;2.5;2370;4200;2;2014;387865
4;2.75;2650;6717;2;2014;545000
3;1.75;1320;1014;3;2015;455000
4;2.75;3120;7644;2;2010;575000
3;2.25;1540;1270;3;2014;449950
3;2.5;1800;2790;2;2011;364000
4;2.5;3640;6389;2;2014;932990
4;4;3970;7314;2;2014;949990
3;2.5;2060;4200;2;2014;326989
3;2.5;2538;4600;2;2013;335606
4;2.75;3340;5700;2;2013;962000
2;2.5;1590;1679;2;2012;395825
5;2.75;2710;4500;2;2014;419354
4;2.5;2430;5000;2;2009;480000
3;2.5;1860;1290;2;2010;730000
3;3.25;1710;2171;2;2014;358990
4;2.5;2650;4120;2;2014;398651
4;2.5;2610;5562;2;2013;610360
4;2.75;3730;8014;2;2012;925000
4;2.5;3330;7399;2;2009;760000
3;2.25;1910;3481;2;2009;293000
2;2.5;2170;7665;1;2013;695000
3;2.5;2437;5136;2;2011;285000
3;2.5;1800;2791;2;2011;379900
4;2.5;2906;5893;2;2014;418395
4;2.75;3550;9400;2;2014;659950
3;2.25;1590;926;3;2014;484950
4;2.5;3250;4500;2;2009;519000
3;1.5;1240;983;3;2009;318000
3;2.5;1680;2801;2;2011;439000
4;2.5;3100;4699;2;2010;435000
3;2.5;2242;4800;2;2013;328000
3;2;1530;1442;3;2015;649000
4;2.5;2150;3143;2;2010;435000
3;2.5;2440;4800;2;2014;625000
3;2.25;1450;4706;2;2009;400000
3;2.5;2690;4047;3;2014;979000
4;3.5;2650;3474;2;2011;665000
5;4.5;4280;8465;2;2014;995500
3;3;2340;5002;2;2013;427874
4;2.5;2220;4228;2;2014;334990
4;2.75;3550;6558;2;2013;952990
2;1.75;1510;851;3;2013;622500
3;2.5;2040;13590;2;2009;350000
1;1.5;1120;912;3;2011;310000
4;2.5;3560;6786;2;2014;907687
2;2.5;2150;5760;1;2010;741500
3;2.5;2130;5088;2;2011;395000
5;2.75;2990;6370;2;2014;559950
4;2.5;2610;7227;2;2011;390000
4;2.5;2240;5500;2;2013;389950
3;2.25;1550;1485;3;2011;380000
3;3;2500;6000;2;2012;432500
3;2.5;1720;3012;2;2011;500000
3;2.25;1760;1146;3;2014;615000
5;3.5;4000;9234;2;2015;802945
3;2.5;1480;1531;3;2014;598950
3;2.5;1950;4949;2;2009;430000
4;2.75;2700;5150;2;2009;515000
4;3.5;2370;3692;2.5;2013;400000
5;1.5;3360;5402;2;2014;804995
4;3.25;3040;4155;2;2013;825000
4;2.5;2658;3960;2;2014;411605
3;3.25;1480;983;2;2013;315000
2;2;1350;1209;3;2013;455000
2;1.75;1270;1916;2;2012;340000
3;2.5;2655;5080;2;2013;409950
2;1.75;1728;95950;1;2012;730000
3;2.5;2570;4600;2;2014;339990
3;2;1560;1020;3;2014;515000
3;1.75;1630;1166;2;2013;541000
4;2.5;2223;5780;2;2010;320000
5;2.75;3050;7520;2;2014;740000
5;2.75;2710;6220;2;2014;450000
4;2.5;2090;4400;2;2011;455000
3;2.5;2500;51836;1;2013;650000
4;2.75;2740;7872;2;2015;530000
5;3.25;3360;6120;2;2014;829995
4;2.75;2280;5013;2;2009;395000
4;2.75;3520;5500;2;2014;859990
4;2.75;3410;5838;2;2012;743000
3;2.5;1427;4337;2;2009;260000
4;2.75;3250;5600;2;2011;570000
2;2.5;1680;975;3;2009;840000
3;2.5;2280;2296;3;2013;950000
3;2.5;3310;4682;2;2015;572800
4;3.5;3290;8059;2;2012;801000
4;2.5;2300;3825;2;2012;320000
4;3.25;2670;5001;1;2013;500000
4;2.5;2440;6651;2;2014;631625
4;3.25;3444;5166;2;2014;430236
4;2.5;2050;2772;2;2013;689500
3;1.5;1390;1882;2;2014;175003
4;2.5;2448;4949;2;2014;447055
3;2.75;2600;64626;1.5;2009;415000
4;2.5;2820;6120;2;2014;897000
3;2.25;1710;1193;2;2014;685000
3;2.25;1650;946;3;2014;619000
3;2.25;1489;2800;2;2011;260000
5;2.5;2690;5557;2;2012;279000
3;2.5;1600;6315;2;2013;287000
3;3;1520;1884;3;2009;399000
5;2.75;3250;8100;2;2014;718000
3;2.5;1480;1663;2;2012;341000
2;2.5;2380;9374;1;2011;818000
3;2.25;1640;1873;3;2014;759000
3;3.5;1650;2262;3;2010;547500
3;2.5;1200;813;3;2010;412000
4;2.5;3202;4964;2;2014;460940
3;2.25;1347;1292;3;2010;321000
4;3.5;2960;6000;2;2014;633634
5;3.5;4320;7502;2;2012;887250
3;2.5;2310;7348;1;2010;739000
3;2;1490;1286;3;2014;429900
3;2;1480;800;2;2014;459000
3;2.25;1481;2820;2;2012;240000
3;3;1730;1902;3;2014;566950
4;3.25;3230;4838;2;2014;572115
4;2.5;2311;4396;2;2014;399440
4;2.5;2544;4071;2;2013;415000
3;2.25;1430;800;2;2011;384000
3;2.5;3490;28213;1.5;2009;692000
3;2.5;2280;6031;2;2011;415000
4;2.5;3320;7429;2;2014;799950
4;3.5;2584;5005;2;2014;429900
3;2.5;2217;8019;2;2009;275000
3;2.5;2480;4136;2;2009;498000
3;2.5;2610;7256;2;2014;754950
4;3;3240;5562;2;2013;895000
4;3.25;3569;8327;2;2013;580000
4;2.5;3181;5831;2;2014;379900
4;2.5;1921;4888;2;2009;245000
3;2.5;1570;4926;2;2014;417000
3;2.5;1940;3211;2;2009;555000
3;2.5;1940;3211;2;2009;555000
4;2.5;2210;13721;2;2009;353000
4;2.5;2612;5850;2;2014;379950
3;2.5;2350;4975;2;2012;700000
3;2.5;1300;1590;2;2014;675000
3;2.5;1570;1433;3;2010;635000
3;2.25;1370;1007;3;2009;524000
4;3.5;3273;5115;2;2014;485000
3;3.5;1494;1262;3;2011;650000
3;2.5;2930;5641;2;2013;754842
4;2.5;2598;5553;2;2014;428900
3;2.5;2242;4995;2;2011;329900
4;2.5;2710;6937;2;2009;544999
4;2.75;2320;4344;2;2012;449950
3;1.75;1650;1180;3;2014;599000
4;2.5;2090;5040;2;2014;388000
4;3.5;3660;4903;2;2014;809950
2;2.5;1450;1213;2;2015;659000
4;3.75;3460;6738;2;2013;971971
4;2.5;2530;5048;2;2014;417838
3;2.5;1150;683;2;2013;335000
4;2.5;1714;3080;2;2009;307000
4;2.75;3650;4534;2;2014;550000
4;2.5;2990;6037;2;2013;594491
4;2.5;3284;6516;2;2014;460458
4;2.25;3550;13900;1;2010;859000
3;3;1860;2875;2;2009;399950
4;2.75;3270;12880;2;2014;939000
3;2.5;1580;3825;2;2011;375000
3;2;1460;3696;2;2010;392137
4;3.25;3266;5398;2;2014;424950
3;3.25;1680;1478;2;2009;399000
4;2.5;2880;3091;2;2014;635000
4;2.25;2240;5000;2;2013;635000
3;2.5;2594;4455;2;2012;351000
4;3.5;3760;5000;2;2014;919204
4;2.5;3600;6055;2;2014;923990
4;2.5;2050;2772;2;2012;639888
4;2.5;2580;3909;2;2013;899900
3;2.5;1670;4020;2;2009;252000
3;2.5;1280;1920;3;2009;552000
3;2.5;2160;1912;2;2014;629000
4;2.5;2180;7204;2;2014;734000
3;2.25;1490;1294;2;2010;309000
5;2.75;2481;4045;2;2014;309000
3;2.5;1730;3600;2;2014;328423
5;3.5;3160;5175;2;2014;660000
4;2.5;2260;5824;2;2011;379000
4;2.5;2310;7384;2;2010;310000
5;3.25;4130;7197;2;2012;995000
4;3;2050;4000;2;2014;370228
4;2.5;2050;4953;2;2014;383000
5;2.5;3190;8160;2;2014;865000
4;2.5;2040;5616;2;2012;502000
4;2.5;2650;6875;2;2014;569995
4;2.5;3430;64441;2;2013;749950
4;2.5;2730;4526;2;2009;440000
3;2.5;1880;5000;2;2010;261950
5;3.75;3090;4943;2;2010;551000
3;3.5;2460;14155;2;2014;665000
4;3.5;2910;5260;2;2012;610000
4;3.5;2910;5260;2;2012;645000
3;1.75;1930;6360;1;2013;536751
3;2.25;1413;3403;2;2009;260000
4;3.25;2880;5929;2.5;2014;429900
4;2.75;2360;15100;1;2014;535000
2;1.5;1190;801;3;2010;300500
5;2.5;3200;6455;2;2009;675000
3;2.5;2830;5831;2;2010;614000
4;2.5;2630;5701;2;2010;385000
4;2.75;3160;8097;2;2014;860000
5;2.75;2710;4685;2;2014;430760
2;2.5;2170;6361;1;2009;755000
3;3.25;1876;1531;3;2009;613500
4;2.5;3148;9612;2;2014;550000
4;3.25;3240;4852;2;2010;789500
5;3.5;3340;5000;2;2012;592000
4;2.5;2413;5701;2;2014;454950
4;2.5;2500;4500;2;2010;475000
2;1.75;1180;904;2;2014;659000
5;3;2230;6551;1;2014;347500
3;3.25;1450;1468;2;2009;380000
5;2.75;2930;7663;2;2013;718000
5;2.75;2710;4136;2;2014;515805
3;2.5;1800;3265;2;2014;437718
4;3.5;3640;4983;2;2014;895900
3;2.25;1520;1464;2;2010;380000
5;2.75;2730;5820;2;2014;565997
3;3.75;1580;1303;2;2010;550000
3;2.25;1490;1212;2;2011;735000
4;2.5;3060;7710;2;2009;588000
3;3.25;3240;4185;2;2011;724500
4;2.5;2547;4800;2;2014;392440
4;2.25;1834;7460;2;2012;280000
3;2.5;1730;3600;2;2014;329780
5;4.5;4000;6713;2;2015;771005
4;2.75;2620;6178;2;2013;475000
4;2.5;2490;5647;2;2014;778983
4;2.25;1800;2752;2;2014;338800
5;1.5;3360;5225;2;2014;834995
4;2.75;3130;9711;2;2014;649000
4;2.5;2720;4738;2;2012;545000
3;2.5;1741;5701;2;2012;300000
4;2.5;2220;3561;2;2014;349990
2;1.5;980;853;2;2009;378000
3;2.5;1950;4197;2;2013;313200
2;1.5;1110;986;2;2009;252500
3;2.5;1250;1150;2;2009;308000
4;2.5;2020;5501;2;2010;415000
4;3.5;3310;4850;2;2010;785000
4;2.5;2798;4473;2;2012;499950
4;2.5;2420;4981;2;2009;380000
4;2.5;2020;3600;2;2012;345000
3;2.5;1760;5390;1;2014;382495
4;2.5;2110;4178;2;2013;324950
4;2.5;2692;8392;2;2014;436472
3;2.25;1490;4522;2;2009;365250
5;3.25;3960;6352;2;2014;919990
4;2.5;1740;4642;2;2012;316475
4;2.5;1940;4517;1;2010;425000
3;2.5;1852;4000;2;2014;298000
4;4;5635;9695;2;2011;950000
3;2.5;1520;3041;2;2009;333000
3;2.5;2099;4275;2;2010;289950
3;2.25;1250;811;3;2014;419950
4;2.5;3216;5902;2;2014;498445
4;2.5;2970;4400;2;2014;775950
4;2.75;3300;4987;2;2014;849990
3;2.25;1590;929;2;2014;665000
4;3.5;3600;5697;2;2014;870515
4;2.5;2154;4153;2;2012;390000
3;1.75;1530;825;3;2015;500000
4;2.5;1660;6724;2;2009;255000
4;2.5;2891;6499;2;2014;415000
